(PDH-CSV 4.0) (W. Europe Daylight Time)(-120);\\LAPTOP-M8MF5JT2\LogicalDisk(_Total)\Disk Read Bytes/sec;\\LAPTOP-M8MF5JT2\LogicalDisk(_Total)\Disk Write Bytes/sec;\\LAPTOP-M8MF5JT2\Memory\% Committed Bytes In Use;\\LAPTOP-M8MF5JT2\Processor(_Total)\% Processor Time;Processor_0;Processor_1;\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_10)\% of Maximum Frequency;\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_11)\% of Maximum Frequency;\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_2)\% of Maximum Frequency;\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_3)\% of Maximum Frequency;\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_4)\% of Maximum Frequency;\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_5)\% of Maximum Frequency;\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_6)\% of Maximum Frequency;\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_7)\% of Maximum Frequency;\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_8)\% of Maximum Frequency;\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_9)\% of Maximum Frequency
10/26/2021 23:44:50.292;0;90.449.725.708.336.000.000;39.874.314.968.444.900.000;93.621.098.414.093.800.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:44:52.304;51.642.679.522.482.100.000;14.070.722.189.105.800.000;39.930.411.786.756.100.000;14.794.608.228.430.400.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:44:54.298;1.232.898.957.519.110.000;29.589.574.980.458.700.000;39.974.265.042.686.400.000;10.966.520.707.259.300.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:44:56.292;0;18.897.223.031.130.900.000;39.977.979.599.493.000.000;96.317.473.368.297.800.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:44:58.303;0;0;39.976.537.050.673.800.000;86.996.891.307.556.500.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:45:00.291;0;53.584.384.008.269.500.000;39.939.644.057.289.600.000;97.489.200.552.953.300.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:45:02.306;0;0;39.927.111.971.175.000.000;89.427.773.525.114.600.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:45:04.305;0;0;39.927.111.971.175.000.000;91.778.958.045.473.500.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:45:06.293;20.612.140.309.093.500.000;20.612.140.309.093.500.000;39.927.238.188.667.000.000;91.820.607.083.908.700.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:45:08.302;0;0;39.931.511.725.283.100.000;86.831.554.781.384.300.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:45:10.296;0;49.283.770.015.891.400.000;39.931.511.725.283.100.000;89.371.208.086.981.200.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:45:12.289;0;32.880.715.091.333.000.000;39.939.193.250.597.200.000;96.496.106.283.030.000.000;100;100;100;100;100;100;100;100;100;100;100;100
10/26/2021 23:45:14.291;0;13.916.826.614.971.500.000;39.938.904.750.146.600.000;92.435.321.751.148.000.000;100;100;100;100;100;100;100;100;100;100;100;100
