"(PDH-CSV 4.0) (W. Europe Daylight Time)(-120)","\\LAPTOP-M8MF5JT2\LogicalDisk(_Total)\Disk Read Bytes/sec","\\LAPTOP-M8MF5JT2\LogicalDisk(_Total)\Disk Write Bytes/sec","\\LAPTOP-M8MF5JT2\Memory\% Committed Bytes In Use","\\LAPTOP-M8MF5JT2\Processor(_Total)\% Processor Time","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_0)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_1)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_10)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_11)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_2)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_3)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_4)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_5)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_6)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_7)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_8)\% of Maximum Frequency","\\LAPTOP-M8MF5JT2\Processor Performance(PPM_Processor_9)\% of Maximum Frequency"
"10/27/2021 00:17:26.198","0","59257.958497877800255","41.374594099208380271","9.057875359195399767","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:17:28.207","0","0","41.49084490292958094","8.9518368622641943944","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:17:30.199","0","2056.9443138069423185","41.604787633196629315","8.6508001195015449269","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:17:32.209","0","0","41.732939412289518089","8.6904849709915854561","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:17:34.196","0","27739139.699668589979","41.264888816807626881","8.1890806419954387252","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:17:36.209","0","50882.574149426218355","41.2681886323886431","8.642751271084181397","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:17:38.197","0","0","41.333661983100149939","9.2305435929532784201","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:17:40.206","0","44845.888045330022578","41.463851333005322886","8.3671533457027038594","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:17:42.198","0","28790.961373298330727","41.551738172199513599","9.2647888831510094576","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:17:44.211","0","437365.3999091834994","41.69391867278468311","8.6900288743541160841","100","100","100","100","100","100","100","100","100","100","100","100"
"10/27/2021 00:17:46.208","2051.3776959452588926","27677187.873693428934","41.263320050496446356","7.9843861303024565856","100","100","100","100","100","100","100","100","100","100","100","100"
